Article;Code_EAN_Article;Article Designation;Epaisseur;Largeur;Longueur;Base3;Choix;Article Famille
TA00000CFI000LO;280500;TERRASSE ACCESSOIRE CLIP BOIS FIXATION INVISIBLE ( CONSO 20/M2 ) ;0,000;0,000;0,0000;;;10TERRASSE
TA00000CFI000LO;280200;TERRASSE ACCESSOIRE CLIP BOIS FIXATION INVISIBLE ( CONSO 20/M2 ) ;0,000;0,000;0,0000;;;10TERRASSE
TF00000SATGRIBL;3239918102958;TERRASSE FINITION  SATURATEUR ENVIRONNEMENT GRIS VIEILLI  ;0,000;0,000;0,0000;;;10TERRASSE
TF00000SATGRIBL;3239916101540;TERRASSE FINITION  SATURATEUR ENVIRONNEMENT GRIS VIEILLI  ;0,000;0,000;0,0000;;;10TERRASSE
TF00000SATGRIBL;3239911102955;TERRASSE FINITION  SATURATEUR ENVIRONNEMENT GRIS VIEILLI  ;0,000;0,000;0,0000;;;10TERRASSE
TABCO00CDF000SV;3760102970171;TERRASSE ACCESSOIRE CLIP COMPOSITE DEBUT ET FIN  ET VIS INOX BOITE DE 10.;0,000;0,000;0,0000;;;10TERRASSE
TMBCOFI000GAASV;3760102970980;TERRASSE MONOLAME BOIS COMPOSITE TEINTE GRIS ANTHRACITE ANTIDERAPANT FIXATION INVISIBLE   ;23,000;138,000;4000,0000;;;10TERRASSE
TMFREFICOUTHBBS;921100311;"TERRASSE MONOLAME FRENE THERMOCHAUFFE CHOIX COURANT FIXATION INVISIBLE  FACE LISSE ET BOMBE AVEC FIXATION ET VIS";21,000;100,000;0,0000;;COU;10TERRASSE
TMBCOFI000GALSV;3760102971055;TERRASSE MONOLAME BOIS COMPOSITE TEINTE GRIS ANTHRACITE LISSE FIXATION INVISIBLE  ;23,000;138,000;4000,0000;;;10TERRASSE
TMBCOFI000GIASV;3760102970201;TERRASSE MONOLAME BOIS COMPOSITE TEINTE GRIS IROISE ANTIDERAPANT FIXATION INVISIBLE   ;23,000;138,000;4000,0000;;;10TERRASSE
TMPSYFACOUTAMSW;9271456413600;"TERRASSE MONOLAME PIN SYLVESTRE CHOIX COURANT TRAITEMENT AUTOCLAVE MARRON   FIXATION A VISSER 1 FACE LISSE / 1 FACE ANTIDERAPANTE PROFIL PEIGNE.";27,000;145,000;3600,0000;0,00;COU;10TERRASSE
TMPSYFACOUTAMSW;9271456414800;"TERRASSE MONOLAME PIN SYLVESTRE CHOIX COURANT TRAITEMENT AUTOCLAVE MARRON   FIXATION A VISSER 1 FACE LISSE / 1 FACE ANTIDERAPANTE PROFIL PEIGNE.";27,000;145,000;4800,0000;0,00;COU;10TERRASSE
TMPSYFACOUTAMSW;9271456414200;"TERRASSE MONOLAME PIN SYLVESTRE CHOIX COURANT TRAITEMENT AUTOCLAVE MARRON   FIXATION A VISSER 1 FACE LISSE / 1 FACE ANTIDERAPANTE PROFIL PEIGNE.";27,000;145,000;4200,0000;0,00;COU;10TERRASSE
TMPSYFACOUTAMSW;9271456413000;"TERRASSE MONOLAME PIN SYLVESTRE CHOIX COURANT TRAITEMENT AUTOCLAVE MARRON   FIXATION A VISSER 1 FACE LISSE / 1 FACE ANTIDERAPANTE PROFIL PEIGNE.";27,000;145,000;3000,0000;0,00;COU;10TERRASSE
TABCO00JUPGALSV;3760102973172;TERRASSE ACCESSOIRE JUPE DE FINITION  BOIS COMPOSITE TEINTE GRIS ANTHRACITE  LISSE ;20,000;70,000;2000,0000;;;10TERRASSE
